time,openPrice,closePrice,underlying/volume,Sell/Subscribe,option/volume,range,ivx,,date
2015/6/1,3.07,3.2,1419662800,103.14,58109,4.31,47.22,1,2016/12/20
2015/6/2,3.19,3.21,1234532800,81.95,50315,0.34,47.61,-1,2016/12/21
2015/6/3,3.21,3.19,1000194200,88.34,47828,-0.56,47.9,1,2016/12/22
2015/6/4,3.19,3.26,2103848800,99.98,91030,2.13,46.57,-1,2016/12/23
2015/6/5,3.34,3.25,1866872400,96.51,58706,-0.15,46.6,1,2016/12/26
2015/6/8,3.28,3.43,3245881000,83.36,89623,5.32,43.66,-1,2016/12/27
2015/6/9,3.46,3.36,3311958600,86.96,67566,-1.93,47.55,-1,2016/12/28
2015/6/10,3.32,3.32,1744912800,111.15,54993,-1.22,48.07,-1,2016/12/29
2015/6/11,3.33,3.3,2217088600,101.01,66607,-0.6,49.74,1,2016/12/30
2015/6/12,3.32,3.31,1725316200,98.53,51204,0.39,49.76,-1,2017/1/3
2015/6/15,3.33,3.22,2842011200,70.64,74441,-2.93,48.06,-1,2017/1/4
2015/6/16,3.2,3.15,2500597200,96.53,92210,-2.11,47.27,1,2017/1/5
2015/6/17,3.16,3.18,2449589000,79.39,79673,0.86,47.31,-1,2017/1/6
2015/6/18,3.16,3.04,1553765400,99.6,98051,-4.19,47.08,-1,2017/1/9
2015/6/19,3.03,2.87,2122214800,81.41,115659,-5.52,46.9,1,2017/1/10
2015/6/23,2.89,2.98,2573711400,77.76,137862,3.55,51.17,1,2017/1/11
2015/6/24,2.99,3.02,2269673800,78.32,96645,1.41,52.05,-1,2017/1/12
2015/6/25,3.05,2.92,2239861400,79.28,93485,-3.28,47.42,-1,2017/1/13
2015/6/26,2.86,2.69,4091997200,75.34,155344,-7.98,48.08,-1,2017/1/16
2015/6/29,2.77,2.66,7737936800,66.28,175955,-0.97,60.09,1,2017/1/17
2015/6/30,2.66,2.85,6802366400,50.42,131550,7.18,59.21,-1,2017/1/18
2015/7/1,2.81,2.73,4433403200,58.39,97810,-4.31,55.91,-1,2017/1/19
2015/7/2,2.79,2.68,5865295200,67.53,137485,-1.61,57.54,-1,2017/1/20
2015/7/3,2.66,2.58,4464872000,70.83,139365,-3.91,55.15,1,2017/1/23
2015/7/6,2.84,2.74,9146831200,47.48,118231,6.32,60.08,1,2017/1/24
2015/7/7,2.68,2.79,6650103200,56.48,112897,1.75,54.84,-1,2017/1/25
2015/7/8,2.6,2.6,7054986400,55.65,128455,-6.67,51.7,1,2017/1/26
2015/7/9,2.53,2.79,3893441200,50.56,157156,7.22,55.34,1,2017/2/3
2015/7/10,2.74,2.91,4152573200,49.83,205976,4.05,54.02,-1,2017/2/6
2015/7/13,2.84,2.86,2921906000,59.4,119510,-1.48,52.96,-1,2017/2/7
2015/7/14,2.81,2.76,2216741600,66.18,142990,-3.49,49.31,-1,2017/2/8
2015/7/15,2.73,2.75,2962960200,71.23,153810,-0.47,45.06,-1,2017/2/9
2015/7/16,2.75,2.74,2330591000,69.88,126453,-0.33,41.63,1,2017/2/10
2015/7/17,2.76,2.8,1791240000,46.11,121599,2.3,39.33,-1,2017/2/13
2015/7/20,2.79,2.78,1369040800,64.14,126011,-0.93,38.73,-1,2017/2/14
2015/7/21,2.73,2.77,1021324900,60.46,99129,-0.32,38.79,-1,2017/2/15
2015/7/22,2.76,2.74,854165000,62.53,82615,-1.12,35.26,1,2017/2/16
2015/7/23,2.74,2.79,1337961100,67.36,92426,2.08,32.98,-1,2017/2/17
2015/7/24,2.79,2.75,1092095300,89.79,95423,-1.75,33.09,-1,2017/2/20
2015/7/27,2.72,2.49,1379427000,87.1,127874,-9.14,30.41,-1,2017/2/21
2015/7/28,2.44,2.48,2612182200,77.2,172775,-0.4,39.52,1,2017/2/22
2015/7/29,2.5,2.53,1093043700,78.41,90527,2.01,41.79,-1,2017/2/23
2015/7/30,2.52,2.47,908665300,60.51,94161,-2.57,37.43,-1,2017/2/24
2015/7/31,2.46,2.46,926730200,76.14,115522,-0.28,40.17,1,2017/2/27
2015/8/3,2.44,2.48,728000400,63.82,91985,0.65,40.45,1,2017/2/28
2015/8/4,2.49,2.54,689233500,67.21,98096,2.5,40.02,-1,2017/3/1
2015/8/5,2.53,2.49,647448300,62.15,103506,-1.93,40.26,-1,2017/3/2
2015/8/6,2.47,2.47,654783900,64.42,98985,-0.8,41.51,1,2017/3/3
2015/8/7,2.49,2.5,702485400,55.06,47387,1.34,40.79,1,2017/3/6
2015/8/10,2.52,2.62,703325000,60.51,138299,4.47,40.75,-1,2017/3/7
2015/8/11,2.62,2.59,458023800,76.55,102109,-0.99,40.18,-1,2017/3/8
2015/8/12,2.57,2.56,547843100,84.06,94714,-1,39.83,1,2017/3/9
2015/8/13,2.56,2.58,661136300,89.57,101905,0.47,39.61,0,2017/3/10
2015/8/14,2.59,2.58,561500800,75.83,80630,-0.04,39.65,-1,2017/3/13
2015/8/17,2.56,2.55,483713500,92.05,146322,-1.05,40.06,-1,2017/3/14
2015/8/18,2.55,2.41,857814700,96.13,190919,-5.42,39.07,1,2017/3/15
2015/8/19,2.4,2.43,1451342700,90.6,210252,0.71,37.42,-1,2017/3/16
2015/8/20,2.4,2.36,701199400,70.67,152646,-2.72,38.03,-1,2017/3/17
2015/8/21,2.33,2.27,1020528200,101.91,188843,-3.68,35.2,-1,2017/3/20
2015/8/24,2.22,2.05,1018573300,88.82,221286,-9.98,35.61,-1,2017/3/21
2015/8/25,1.94,1.89,1963701200,81.69,224038,-7.87,48.34,1,2017/3/22
2015/8/26,1.94,1.95,2464277200,69.67,228947,3.18,63.79,1,2017/3/23
2015/8/27,2,2.11,1705422400,57.11,207880,8.43,61.14,1,2017/3/24
2015/8/28,2.14,2.17,1788366000,64.08,168090,2.75,61.16,1,2017/3/27
2015/8/31,2.14,2.21,1253607600,75.86,149599,1.89,62.28,1,2017/3/28
2015/9/1,2.15,2.23,1786786200,61.6,160379,0.86,63.33,1,2017/3/29
2015/9/2,2.15,2.24,1775174000,71.65,162155,0.36,60.88,-1,2017/3/30
2015/9/7,2.22,2.14,701801900,73.51,125470,-4.29,59.49,1,2017/3/31
2015/9/8,2.12,2.18,882662700,95.8,131221,1.73,47.98,1,2017/4/5
2015/9/9,2.2,2.21,777486600,80.77,119129,1.47,45.63,0,2017/4/6
2015/9/10,2.18,2.21,638374500,114.09,99403,-0.14,41.78,-1,2017/4/7
2015/9/11,2.21,2.19,420897900,90.29,95338,-0.59,40.86,1,2017/4/10
2015/9/14,2.21,2.22,868275400,83.29,156608,1.37,42.35,-1,2017/4/11
2015/9/15,2.18,2.17,742104900,116.2,109137,-2.52,44.63,1,2017/4/12
2015/9/16,2.17,2.24,623954100,110.07,143553,3.46,41.34,-1,2017/4/13
2015/9/17,2.22,2.2,723452300,79.32,125442,-1.96,41.06,0,2017/4/14
2015/9/18,2.21,2.2,498441700,79.1,111102,0,40.19,1,2017/4/17
2015/9/21,2.19,2.21,305409200,67.23,88871,0.64,39.81,1,2017/4/18
2015/9/22,2.21,2.24,415724800,62.15,101395,1.13,37.17,-1,2017/4/19
2015/9/23,2.19,2.18,290194900,85.66,93003,-2.55,38.93,1,2017/4/20
2015/9/24,2.19,2.19,176907300,79.97,52826,0.32,37.63,-1,2017/4/21
2015/9/25,2.18,2.17,273127700,76.46,68450,-0.73,34.91,0,2017/4/24
2015/9/28,2.17,2.17,157721600,106.08,58140,0.14,31.93,-1,2017/4/25
2015/9/29,2.15,2.13,123856700,108.63,77280,-2.16,31.1,1,2017/4/26
2015/9/30,2.14,2.15,111796100,96.64,65518,0.94,30.65,1,2017/4/27
2015/10/8,2.24,2.2,183101800,89.97,83600,2.28,31.7,1,2017/4/28
2015/10/9,2.21,2.22,179145900,109.79,68271,1.14,30.07,1,2017/5/2
2015/10/12,2.24,2.29,291581000,64.94,176991,3.02,30.07,-1,2017/5/3
2015/10/13,2.27,2.28,257545200,82.76,87677,-0.39,31.95,-1,2017/5/4
2015/10/14,2.26,2.26,188263700,92.66,98488,-0.92,31.71,1,2017/5/5
2015/10/15,2.26,2.3,304426200,78.97,107973,2.04,29.66,1,2017/5/8
2015/10/16,2.31,2.32,344854100,77.86,130816,0.78,29.26,0,2017/5/9
2015/10/19,2.32,2.32,286968400,87.09,109768,-0.09,30.34,1,2017/5/10
2015/10/20,2.31,2.34,231423500,89.1,94870,0.91,30.99,-1,2017/5/11
2015/10/21,2.34,2.32,448090900,74.22,185565,-0.9,32.76,1,2017/5/12
2015/10/22,2.33,2.33,320496800,88.83,123501,0.56,31.8,1,2017/5/15
2015/10/23,2.34,2.35,281692800,89.39,117604,0.73,30.64,0,2017/5/16
2015/10/26,2.38,2.35,318977900,70.73,146666,0,32.39,0,2017/5/17
2015/10/27,2.34,2.35,368848800,81.01,142821,-0.09,30.86,-1,2017/5/18
2015/10/28,2.34,2.31,335176300,96.37,112958,-1.7,31.72,0,2017/5/19
2015/10/29,2.31,2.31,221076800,96.62,76934,0.13,31.76,0,2017/5/22
2015/10/30,2.31,2.31,229814600,113.8,92651,-0.04,28.96,-1,2017/5/23
2015/11/2,2.29,2.28,233551500,107.69,77215,-1.17,29.84,-1,2017/5/24
